name,weighted_pv
大倉忠義,31817.52803172468
大原櫻子,19996.471339302265
大友花恋,38496.68618530848
大地真央,46790.102370325636
大坂なおみ,43833.52070773553
大塚寧々,70792.45328339015
大島優子,59132.52801895595
大島美幸,13416.736569508535
大政絢,21453.665628613966
大森南朋,72314.81569635916
大沢あかね,23409.910672579845
大沢たかお,29990.213129350974
大泉洋,90223.61871675438
大竹しのぶ,29372.326155571456
大谷亮平,29324.92195198975
大谷翔平,271164.36596622807
大野いと,12656.357367353108
天海祐希,50449.69148830176
天野ひろゆき,22343.90334599939
太田光,29283.077353547993
奈緒,111181.93504724324
奥平大兼,6705.282038984751
奥田瑛二,34364.596862686914
奥貫薫,25130.57987319228
妻夫木聡,81430.31693452269
宇垣美里,28573.4487982914
宇多田ヒカル,78517.45569900294
宇梶剛士,35390.53148865953
宇賀なつみ,31152.17302285302
安めぐみ,10276.565639288712
安田成美,17492.178820763147
安田章大,25339.811066586102
安田美沙子,18274.00447812529
安田顕,61066.130617083014
安藤サクラ,117033.55194091346
安達祐実,51011.08952348414
室井滋,17216.907930270827
宮世琉弥,114969.69149033044
宮崎美子,16201.971421322942
宮川大輔_(タレント),24056.70482489845
宮本信子,27138.692164675682
宮本茉由,18731.887910184414
宮根誠司,17053.962464115095
宮沢りえ,58966.67530725611
宮沢氷魚,101830.64728887183
宮澤エマ,147023.88913880254
宮﨑あおい,58081.211364115166
富田望生,19814.6666771467
富田靖子,25600.177957493575
寺島しのぶ,58057.35744791636
寺島進,17414.659494646414
寺田心,59240.11317950241
寺脇康文,42653.58971899208
小倉優子,21261.25381991811
小宮浩信,10947.36949357739
小宮璃央,29301.340403329716
小峠英二,30105.954719808797
小嶋陽菜,35261.709390228294
小川紗良,8127.656348004052
小手伸也,17675.659132290595
小日向文世,21326.503527238205
小松菜奈,76697.71163786996
小林聡美,24324.705365155172
小林薫,25397.085805848186
小栗旬,98267.22798654302
小池徹平,26685.78443331441
小池栄子,68508.61844525399
小泉孝太郎,53261.2655863398
小澤征悦,35073.23566808241
小瀧望,28149.81339096218
小籔千豊,26571.744518228294
小芝風花,143569.83755358818
小西桜子,7801.503525395566
小西真奈美,15398.790594482685
小野花梨,63810.12414891575
小関裕太,27186.308291905712
小雪_(女優),50333.50837923591
尾上松也_(2代目),42360.83171141048
尾野真千子,28392.320346163648
山下健二郎,19011.364399813356
山下智久,74794.15099364906
