name,pop_diff_past,aware_diff_past,201902人気度,201902知名度,burst_count,burst_views_sum,news_count,all_news_count,pop_diff,aware_diff,202208人気度,202208知名度,202302人気度,202302知名度,burst_score_sum,all_score_sum,burst_pos_count,burst_neg_count,all_pos_count,all_neg_count,burst_nonzero_count,all_nonzero_count,pagerank,browserank,pub_score1,pub_score2,pub_score3,weightedPV1,weightedPV2,weightedPV3,weightedPV4,weightedPV5,allPV,burst_weightedPV1,burst_weightedPV5,weightedPV1_past,weightedPV2_past,weightedPV3_past,weightedPV4_past,weightedPV5_past,allPV
タカアンドトシ,2.8,-1.5,37.2,96.5,8,19947,6,55.0,-0.8999999999999986,-0.29999999999999716,40.0,95.0,39.1,94.7,0.0,48.0,1.0,2.0,34.0,9.0,3.0,43.0,1.1884926488857016e-07,0.0009294772277694701,5.842188673882319,94188.93748008822,12.098739066285283,26903.37584524987,63744.99980618911,14179.200626513088,1323.8059072397712,40958.070738457005,135430,3866.1065791982965,5538.668097371106,223510.77904530196,469433.7536595163,16748.86132207792,2820.0605499343174,222774.96157747967,1313561.0
タモリ,-0.5,-2,43.2,98.6,13,67548,58,278.0,-2.700000000000003,0.0,42.7,96.6,40.0,96.6,26.0,57.0,29.0,9.0,104.0,65.0,38.0,169.0,3.2172337623500804e-07,0.0044477096657128965,27.00862652996121,628512.7212412701,60.192353251587456,68822.00579815607,163796.3479191977,38353.45579961561,3322.247907660799,105967.00610380455,344534,14229.99628527182,23569.874839194603,442426.057159889,926977.4064564575,29891.95083940849,2698.318699385853,433866.892787553,2607478.0
ダレノガレ明美,-5.7,-2.5,12.4,86,13,24218,30,101.0,1.3999999999999995,1.2999999999999972,6.7,83.5,8.1,84.8,14.0,71.0,18.0,10.0,67.0,26.0,28.0,93.0,3.747369718132891e-10,3.327455269668337e-05,7.251902213731339,171247.41027366766,19.725539167717773,17505.157995012218,42147.340206746776,12011.757328339569,1647.0081745180005,28599.112301442197,86816,3810.8892896240136,5436.4234805382075,189976.12720612582,392117.93589468737,12222.572737324748,1283.573636482912,175592.49900091806,1142343.0
ディーン・フジオカ,-1.1,0.9,21.6,85.3,3,16904,10,152.0,1.6000000000000014,0.7000000000000028,20.5,86.2,22.1,86.9,12.0,188.0,8.0,2.0,125.0,20.0,10.0,145.0,9.364626995150988e-09,0.0001390915854885826,11.33171925959266,290716.7872704221,29.36688881854381,40481.89430560366,96624.15933740324,24364.918673891458,2969.0406853222235,63889.69305123931,202459,4000.5324305379504,8421.412800456077,532985.2663934975,1127583.3003734078,53825.86274901909,2912.2260305105224,542133.4591002986,3108096.0
トラウデン直美,3.4,33.8,1.2,5.8,19,89924,22,104.0,0.5,-0.30000000000000426,4.6,39.6,5.1,39.3,7.0,19.0,9.0,7.0,40.0,25.0,16.0,65.0,0.0,0.00011019309190787406,8.620982443190407,221005.31290506295,23.058042543735215,48080.08882350986,112258.40318859062,16697.341731519922,1292.7050157757797,69161.62754582694,245595,16547.715033056753,23612.765900209128,440459.632606066,918790.7384737487,35726.87558861614,3949.094774191452,425777.5652509324,2612875.0
トリンドル玲奈,5.5,7.4,8.3,71.5,10,57328,35,134.0,-0.7000000000000011,-1.0,13.8,78.9,13.1,77.9,42.0,185.0,29.0,2.0,119.0,7.0,31.0,126.0,0.0,1.1446326440309766e-05,11.529349084466812,272285.7767669609,29.77839651958368,48498.721408119294,116199.07739967482,33719.69454643882,3646.58623170389,77298.53063020585,241982,11445.796651264787,14266.676209269068,350342.1891405996,740028.2582656128,27289.90979603402,3881.7736316425344,356233.39736487553,2042940.0
ナイツ_(お笑いコンビ),-2.3,-0.9,36.8,89.9,4,14472,2,358.0,0.0,-0.5,34.5,89.0,34.5,88.5,-2.0,264.0,0.0,2.0,243.0,62.0,2.0,305.0,1.7768449114421967e-07,0.0020214725911337286,25.44070680352574,374731.05183339276,41.57492644213539,24738.606901307117,59176.388117703515,14770.833736363202,1013.8530126410183,38455.476579871014,122973,2393.14769675539,3572.5238700783866,321106.21791547176,660553.5161777037,12405.16911484182,1385.1259590946675,291952.7508271898,1936208.0
バカリズム,4.7,1.6,31.2,90.6,6,20890,22,259.0,-1.6999999999999957,0.20000000000000284,35.9,92.2,34.2,92.4,28.0,255.0,16.0,1.0,167.0,32.0,17.0,199.0,1.9776739337322413e-08,0.0007658516928545768,24.00528239789261,545957.1743396,58.975474992332074,48856.621715447756,120700.74196616042,48082.766936706685,6456.338229089874,87162.7758883899,235686,2213.849759225375,2668.4483108078934,385850.8860888289,802205.1496596423,16321.634400698638,1404.644777551469,366092.1963726993,2293236.0
ヒロミ,-1.9,-1.2,28.1,95.9,8,20945,45,269.0,-0.1999999999999993,1.0999999999999943,26.2,94.7,26.0,95.8,13.0,116.0,24.0,15.0,136.0,79.0,39.0,215.0,3.8965486994782784e-07,0.0023038609833730033,21.635180587080207,504006.43052454793,57.78532353300496,34367.60157408762,82003.76385365511,20002.738431273796,1926.9915307508936,53572.916583785,171643,4763.362035368449,8176.991151333447,311040.25456555514,648534.6738103083,21611.298247612278,2398.193085461457,299707.61119947984,1846288.0
ビビる大木,-1.7,-4.1,13.6,93.5,6,9793,11,57.0,-1.3000000000000007,-0.4000000000000057,11.9,89.4,10.6,89.0,-4.0,7.0,1.0,5.0,14.0,10.0,6.0,24.0,9.586227279289086e-08,9.453597596460171e-05,4.987510897499242,92328.66622059881,10.800709548520462,13229.292837502446,31233.106787152497,6430.499769494626,524.2201594796877,19806.838759687358,66821,1795.184880798713,2444.932439354516,89699.83868386073,187941.51085863519,6289.906048269531,785.3436582690117,88202.69848799563,528690.0
