publisher,news_count,score_sum,score_mean,burst_news_count,burst_score_sum,burst_pv_sum,burst_days
ELLEgirl,21,20,0.9523809523809523,3.0,3.0,33969.0,3.0
ENCOUNT,2295,1928,0.840087145969499,450.0,448.0,5686004.0,167.0
ENGINE Web,1,0,0.0,0.0,0.0,0.0,0.0
ENTAME next,214,184,0.8598130841121495,27.0,35.0,123873.0,20.0
EVsmartブログ,1,0,0.0,0.0,0.0,0.0,0.0
EXILE TRIBE mobile,94,143,1.5212765957446808,10.0,14.0,50486.0,10.0
EYESCREAM,11,7,0.6363636363636364,1.0,0.0,822.0,1.0
EdTechZine（エドテックジン）,1,0,0.0,0.0,0.0,0.0,0.0
Esports Charts,1,0,0.0,0.0,0.0,0.0,0.0
Esquire,25,40,1.6,2.0,4.0,60847.0,2.0
Excite エキサイト,2081,1207,0.5800096107640558,247.0,180.0,2528631.0,130.0
Excuse Me Dallas,1,0,0.0,0.0,0.0,0.0,0.0
F1-Gate.com,4,4,1.0,0.0,0.0,0.0,0.0
FASHION HEADLINE,1,2,2.0,0.0,0.0,0.0,0.0
FBS福岡放送,3,3,1.0,1.0,-1.0,5092.0,1.0
FC東京,1,2,2.0,0.0,0.0,0.0,0.0
FC町田ゼルビア オフィシャルサイト,5,7,1.4,0.0,0.0,0.0,0.0
FILMAGA,177,139,0.7853107344632768,14.0,17.0,71093.0,13.0
FITNESS LOVE,6,2,0.3333333333333333,0.0,0.0,0.0,0.0
FM COCOLO,1,1,1.0,0.0,0.0,0.0,0.0
FM大阪,4,4,1.0,1.0,0.0,8542.0,1.0
FNMNL,5,6,1.2,1.0,1.0,12162.0,1.0
FNNプライムオンライン,153,137,0.8954248366013072,18.0,25.0,271559.0,15.0
FOOTBALL ZONE,9,18,2.0,2.0,6.0,14902.0,2.0
FORZA STYLE,153,194,1.2679738562091503,11.0,19.0,125587.0,11.0
FRIDAYデジタル,556,-140,-0.2517985611510791,87.0,-98.0,1419418.0,40.0
FUDGE.jp,4,-1,-0.25,0.0,0.0,0.0,0.0
FYTTE,6,9,1.5,4.0,8.0,9899.0,4.0
Fan's Voice,119,169,1.4201680672268908,9.0,16.0,57557.0,9.0
Fanplus,3,4,1.3333333333333333,0.0,0.0,0.0,0.0
Fany Magazine,614,566,0.9218241042345277,70.0,69.0,419420.0,51.0
Febri,1,0,0.0,0.0,0.0,0.0,0.0
FenderNews,6,5,0.8333333333333334,0.0,0.0,0.0,0.0
Festival Life,9,10,1.1111111111111112,0.0,0.0,0.0,0.0
FlyTeam,3,4,1.3333333333333333,3.0,6.0,25170.0,3.0
Football Tribe,3,-1,-0.3333333333333333,0.0,0.0,0.0,0.0
Forbes JAPAN,11,15,1.3636363636363635,2.0,4.0,6417.0,2.0
Fujifilm [Global],2,2,1.0,0.0,0.0,0.0,0.0
Fun! J:COM,4,6,1.5,0.0,0.0,0.0,0.0
Funeco,1,3,3.0,0.0,0.0,0.0,0.0
GAME Watch,28,45,1.6071428571428572,4.0,11.0,29371.0,4.0
GDOゴルフニュース,2,1,0.5,0.0,0.0,0.0,0.0
GENIC KOBE,2,4,2.0,0.0,0.0,0.0,0.0
GIGAZINE,9,8,0.8888888888888888,1.0,2.0,60887.0,1.0
GLAFAS,6,9,1.5,1.0,1.0,2379.0,1.0
GLAY公式サイト,5,-1,-0.2,1.0,0.0,3032.0,1.0
GMOインターネットグループ株式会社,1,1,1.0,0.0,0.0,0.0,0.0
GOETHE[ゲーテ],86,107,1.244186046511628,7.0,8.0,82166.0,6.0
GQ Japan,94,144,1.5319148936170213,10.0,14.0,90532.0,7.0
GUNDAM.INFO,2,4,2.0,0.0,0.0,0.0,0.0
Game*Spark,19,20,1.0526315789473684,1.0,1.0,2984.0,1.0
GameBusiness.jp,1,2,2.0,0.0,0.0,0.0,0.0
GameWith,16,-5,-0.3125,0.0,0.0,0.0,0.0
Gamer,15,19,1.2666666666666666,0.0,0.0,0.0,0.0
Gateway to Russia,1,-1,-1.0,0.0,0.0,0.0,0.0
Genius,3,1,0.3333333333333333,0.0,0.0,0.0,0.0
GetNavi web,123,97,0.7886178861788617,5.0,5.0,39801.0,5.0
Gourmet Biz-グルメビズ,3,3,1.0,0.0,0.0,0.0,0.0
Go株式会社,4,3,0.75,0.0,0.0,0.0,0.0
Green Card ニュース,13,8,0.6153846153846154,0.0,0.0,0.0,0.0
Gressive,6,5,0.8333333333333334,2.0,2.0,8518.0,1.0
HALF TIMEマガジン,1,1,1.0,0.0,0.0,0.0,0.0
HEDGE GUIDE,1,-1,-1.0,0.0,0.0,0.0,0.0
HONZ,2,1,0.5,1.0,0.0,14362.0,1.0
HOTERES Online,1,-5,-5.0,0.0,0.0,0.0,0.0
HTB 北海道テレビ,19,35,1.8421052631578947,3.0,4.0,5482.0,2.0
Happinet Phantom Studios,17,15,0.8823529411764706,3.0,2.0,27633.0,3.0
Harper's BAZAAR,24,34,1.4166666666666667,4.0,5.0,35114.0,4.0
Hint-Pot,35,31,0.8857142857142857,7.0,10.0,118606.0,6.0
Hobby JAPAN Web,2,4,2.0,0.0,0.0,0.0,0.0
Hodinkee Japan,3,3,1.0,0.0,0.0,0.0,0.0
Hoitto! ヘルスケアビジネス,3,4,1.3333333333333333,1.0,2.0,2158.0,1.0
Hulu,55,67,1.2181818181818183,6.0,15.0,46585.0,6.0
Hwaiting（ファイティン）,2,1,0.5,1.0,-1.0,3857.0,1.0
ICT教育ニュース,4,4,1.0,0.0,0.0,0.0,0.0
IDEAS FOR GOOD,1,0,0.0,0.0,0.0,0.0,0.0
IGN Japan,14,13,0.9285714285714286,0.0,0.0,0.0,0.0
IGNITE（イグナイト）,16,28,1.75,2.0,4.0,41753.0,2.0
INAC神戸 レオネッサ,1,0,0.0,0.0,0.0,0.0,0.0
INTERNET Watch,2,1,0.5,0.0,0.0,0.0,0.0
ISUTA,6,8,1.3333333333333333,1.0,1.0,12015.0,1.0
ITmedia,113,71,0.6283185840707964,10.0,1.0,474801.0,9.0
Impress Watch,9,5,0.5555555555555556,1.0,-1.0,759.0,1.0
InterFM,16,11,0.6875,0.0,0.0,0.0,0.0
J SPORTSコラム,7,5,0.7142857142857143,0.0,0.0,0.0,0.0
J-CAST ニュース,267,-85,-0.31835205992509363,37.0,4.0,862064.0,32.0
J-WAVE NEWS,91,68,0.7472527472527473,6.0,1.0,16935.0,5.0
JAF Mate Online,15,12,0.8,1.0,2.0,8600.0,1.0
JAcom 農業協同組合新聞,13,14,1.0769230769230769,1.0,1.0,2488.0,1.0
JBpress,28,-1,-0.03571428571428571,4.0,-3.0,75915.0,4.0
JCP TOKYO,1,0,0.0,0.0,0.0,0.0,0.0
JMAG NEWS,1,1,1.0,0.0,0.0,0.0,0.0
JO1 OFFICIAL SITE,34,93,2.735294117647059,4.0,8.0,66885.0,4.0
JOYSOUND 音楽ニュース,375,168,0.448,45.0,24.0,293013.0,31.0
JTウェブサイト,1,-1,-1.0,0.0,0.0,0.0,0.0
JUNON TV,22,29,1.3181818181818181,2.0,5.0,24125.0,2.0
Japaaan,21,18,0.8571428571428571,2.0,4.0,34355.0,2.0
Jnews1,14,16,1.1428571428571428,0.0,0.0,0.0,0.0
Jタウンネット,1,-1,-1.0,0.0,0.0,0.0,0.0
K-PLAZA,9,13,1.4444444444444444,1.0,2.0,5680.0,1.0
KAB 熊本朝日放送,1,0,0.0,0.0,0.0,0.0,0.0
KADOKAWAオフィシャルサイト,10,19,1.9,0.0,0.0,0.0,0.0
KADOKAWAグループ ポータルサイト,9,14,1.5555555555555556,0.0,0.0,0.0,0.0
KAI-YOU,69,59,0.855072463768116,9.0,17.0,86644.0,7.0
