name,人気度,知名度,DA,BR(順),BR(逆)
塚地武雅,21.1,90.8,8266,2.13E-05,0.0001179996046
塚本高史,7.6,66.2,6266,8.23E-05,1.94E-05
津田寛治,7.1,55.4,6223,7.10E-06,2.90E-05
津田健次郎,11.9,35.2,206627,0.00633794457,0.007935352989
土田晃之,14.7,90.4,7328,5.35E-05,0.0002566354936
堤真一,37.3,91,13643,9.51E-05,0.0007797159444
坪倉由幸,5,69,2028,4.78E-06,1.62E-05
妻夫木聡,33.8,90.1,14092,0.0004937938123,0.001357552525
つるの剛士,10.8,91,12820,0.0003393133926,0.0001203735951
ディーン・フジオカ,22.1,86.9,14034,5.87E-05,0.0001390915855
出川哲朗,43,97.7,20110,0.0007000887299,0.001628444447
寺島進,20.9,84.1,7521,1.95E-05,0.0002115468046
寺田心,12.9,85.7,78536,0.001126126578,0.001795213534
寺脇康文,19.6,80.7,9313,9.52E-05,0.0002757351166
でんでん,8.3,63.7,4901,3.57E-06,4.46E-06
堂本光一,21.4,89.7,8340,0.0001507602475,0.0001062364582
堂本剛,22.1,89,11443,0.0002502967506,0.0002340031449
所ジョージ,41.4,96.6,25331,0.0003676857229,0.00182390095
ØMI,6.5,52.6,9492,1.34E-05,1.67E-05
トータス松本,14.2,77.3,7976,3.79E-05,0.0003382099891
戸塚純貴,2.3,19.6,13347,4.16E-05,3.70E-05
戸次重幸,10.3,51,11670,0.0004480097896,4.01E-05
豊川悦司,19.5,81.8,12065,9.25E-05,0.0003189137445
内藤剛志,19.3,85.5,32732,0.000184281689,0.0002360435442
中井貴一,27.1,87.6,11877,0.0001339938119,0.0004715301726
中居正広,32.9,97.2,20031,0.0003303803641,0.001618865896
中尾明慶,16.5,80.7,23334,0.003051705298,0.0009971340858
中川大志,21.1,71.3,28,1.16E-10,1.46E-10
長嶋一茂,14.9,94.2,31485,0.000173631987,0.0005961402666
中島健人,18.8,76.8,19846,0.0004499783679,0.0003490777459
中島裕翔,13.1,57.3,11347,0.0003167480023,0.0007380038061
永瀬正敏,6.7,62.7,6592,4.46E-05,0.0001206783723
永瀬廉,17.9,66.4,22238,0.0007359762552,0.0002547823335
中田圭祐,1.1,6.9,781,9.05E-08,1.13E-07
仲野太賀,20,53.1,41621,0.0009581436146,0.001094236261
中丸雄一,23,84.4,12225,0.000178020356,0.0005821266426
中村勘九郎,7.8,80.2,270,1.08E-08,1.35E-08
中村獅童,10.1,89.6,230,7.85E-09,9.83E-09
中村俊介,5.8,65.1,7751,1.21E-05,1.49E-05
仲村トオル,23,85.1,14939,4.37E-05,4.46E-05
中村倫也,26,80.9,9393,1.31E-05,1.64E-05
中村雅俊,17.3,82.8,17586,0.0001095766226,0.0003180843271
永山瑛太,18.1,72.7,13274,0.001050948126,0.0003902285422
永山絢斗,8.5,49.4,11118,0.0009591025242,0.0001167123721
中山秀征,12.9,91.9,11943,0.0001255099411,0.0005282366484
名倉潤,17.3,91.7,10610,0.000298150391,9.15E-05
生瀬勝久,24.2,84.4,6797,4.65E-05,0.0001023578826
成田凌,12.7,61.2,12570,3.90E-05,0.0002038448637
南原清隆,14.7,92,6675,0.000218942742,0.0003407578178
錦織圭,16.5,92.4,7613,6.29E-05,2.34E-05
西島秀俊,41.4,86.2,68876,0.002242468737,0.003111508601
西田敏行,31.9,92,32867,0.0004006281489,0.002181761616
西畑大吾,6.2,38.4,5551,0.0001158152365,4.67E-05
西村まさ彦,15.9,75.9,5155,1.69E-05,1.44E-05
二宮和也,35.2,96.3,40869,0.001072102132,0.005226084824
温水洋一,18.2,88.5,3312,8.37E-05,5.82E-05
野間口徹,13.1,74.9,8577,1.09E-05,1.37E-05
野村周平,6.4,57.9,11825,0.0001789493536,9.94E-05
野村萬斎,16.1,82.5,14347,3.06E-05,3.83E-05
バカリズム,34.2,92.4,41909,0.0005346546488,0.0007658516929
萩原利久,1.2,13.3,34130,0.0002182901571,0.001423366743
はじめしゃちょー,7.8,64.1,14001,0.0003860150763,0.0001668918857
長谷川博己,15.2,69.6,16903,5.39E-05,0.0008165033176
羽鳥慎一,25.1,90.6,33031,0.0003166344333,0.0009575832934
羽生結弦,31.5,95.8,50302,0.0009683276406,0.007773704011
濱正悟,0.4,4.6,2341,8.14E-07,1.02E-06
濱田岳,29.7,87.4,10906,8.61E-05,0.0003803324102
濱田龍臣,5.8,50.8,17745,4.67E-05,5.85E-05
浜田雅功,35.9,98.4,34412,0.002989860219,0.001101148595
浜野謙太,7.1,49,7129,2.61E-05,7.94E-05
林修,16.1,94.3,15753,5.52E-05,7.02E-05
林遣都,12.4,71,25329,0.001817344198,0.000294429328
速水もこみち,13.6,92.9,16995,4.29E-05,5.37E-05
原田泰造,33.5,94.7,8653,0.0001831651563,0.0002005188409
原田龍二,8,76.5,31328,0.0001456933188,0.000182413699
はるな愛,12.2,93.8,11105,5.99E-05,0.0001037884889
坂東龍汰,2.5,11.7,16831,4.21E-05,5.27E-05
HIKAKIN,14.5,87.4,55176,0.001654768218,0.0006048415628
東野幸治,15.9,96.3,14100,0.0005634114553,0.001254644793
東山紀之,18.9,92.2,34329,0.001702416014,0.00152545403
ビートたけし,25.8,96.8,76828,0.004972741609,0.01998968042
ビビる大木,10.6,89,3868,5.89E-05,9.45E-05
日村勇紀,38.8,96.6,13541,0.0004022244544,7.96E-05
日向亘,1.1,5.3,47449,0.0004496294208,0.0004613437975
平泉成,15.9,85,4752,3.35E-06,4.20E-06
平岡祐太,6,45.3,6288,5.87E-06,7.35E-06
平野紫耀,34.5,76.3,29942,0.0008656258963,0.000524673435
平山浩行,7.1,46.7,5224,2.05E-05,6.10E-05
ヒロミ,26,95.8,19382,0.001429498003,0.002303860983
吹越満,6.5,59.1,4197,2.61E-06,3.27E-06
福澤朗,10.3,86.5,3059,2.38E-05,4.97E-05
福士蒼汰,24.6,85.3,34856,0.000336859302,0.001456562314
福山雅治,38.1,95,107164,0.01312649214,0.007730459817
藤井隆,20.5,82.3,14045,0.0004932630504,0.0004790146052
藤井流星,5.3,40.7,8662,6.71E-05,0.0001456794996
藤岡弘、,17.2,88.1,41401,0.0002544461937,0.000318576526
藤ヶ谷太輔,13.1,73.3,4268,5.21E-05,4.15E-05
藤木直人,21.1,81.6,7089,5.14E-05,9.59E-05
藤森慎吾,14.3,87.4,8865,1.17E-05,1.46E-05
藤原大祐,0.9,5.1,5268,1.94E-05,3.10E-05
藤原竜也,29.9,93.8,11472,7.46E-05,0.0001378235654
船越英一郎,10.1,89,9455,6.51E-05,9.90E-05
古川雄輝,2.5,23,9835,0.0001867915484,0.0001057862865
古川雄大,3.7,17.5,31700,0.0005396285711,0.00112486837
古田新太,23.4,88.3,4877,2.55E-05,9.23E-05
古舘伊知郎,9.6,86.4,8191,9.20E-05,0.0005041379023
別所哲也,8.3,75.2,4164,2.57E-06,3.22E-06
星野源,29.9,94.2,46435,0.003848937242,0.00175232212
細田佳央太,4.2,20.2,13792,0.0003243369615,0.0003666866546
堀内健,17.5,90.8,4417,9.73E-05,0.0002212540262
本郷奏多,7.6,47.6,47006,0.0003280053207,0.0004106754127
毎熊克哉,1.9,13.1,75960,0.0008565332138,0.001072412881
眞栄田郷敦,14,58.2,20006,0.0006542226606,0.0001052935503
前野朋哉,4.1,43.7,1996,5.91E-07,7.40E-07
マキタスポーツ,6.5,53.6,11299,2.60E-05,0.0003539417254
眞島秀和,7.6,43,6973,7.22E-06,9.04E-06
又吉直樹,19.6,94.7,13635,0.0001670711755,0.0003271846327
町田啓太,14.3,45.7,38330,0.001802274418,0.0006612194625
松岡修造,27.3,94,13338,0.000123399291,0.0002777853966
松岡昌宏,23.5,93.8,8538,7.65E-05,0.0002250087362
マツコ・デラックス,51,98.9,26118,0.0002480156732,0.001245151732
松坂桃李,34.2,92.6,20621,0.001415182731,0.0003477894507
松重豊,40.5,89.4,47242,0.0009936949836,0.0004997655085
松下洸平,17.2,57.5,71565,0.002634009954,0.002592502126
松田翔太,19.3,85.1,9695,0.0005566647993,0.0006276227163
松田龍平,14.5,84.1,6764,0.0002307744057,0.0003782320302
松平健,17.2,90.4,41784,0.002036963596,0.001777171341
松丸亮吾,13.3,80.7,12353,2.27E-05,2.84E-05
松村北斗,13.1,36.8,17956,0.0002669009409,0.0008291235808
松本幸四郎,8.7,79.6,2627,2.19E-05,1.31E-05
松本潤,32.2,95,23587,0.0002091032088,0.002667084588
松本人志,41.8,98.9,136547,0.01467181229,0.03692616257
松山ケンイチ,22.5,91.3,21799,0.0001107309562,0.0002291237549
的場浩司,12.6,88.5,5305,1.52E-05,8.30E-05
間宮祥太朗,18.1,67.8,18094,0.00013734631,0.0005242028656
丸山隆平,11.3,61.1,3021,2.91E-05,2.63E-05
三浦知良,22.7,90.4,27317,0.0001351824442,0.0001593982353
三浦翔平,13.3,66.5,8916,0.0002462000807,0.0001359548287
三浦貴大,4.2,44.4,14161,0.0005223543969,0.0002601969672
三浦友和,19.3,82.3,14773,0.0005159216102,0.000318550616
水上恒司,5.1,19.5,631235,0.07215141124,0.0769834079
水沢林太郎,0.4,3.4,18282,6.58E-05,0.0002746346418
