word,coef
ウリナリ,5.694219637112597
リベンジャーズ,5.69033942595809
尊,5.442015424582916
満里奈,5.200880564882107
俳句,5.128802593473572
新川,5.002119455706243
沙,4.8076101678974785
蛯原,4.798076631584796
毛利,4.776295636049722
朋,4.735959714204133
斉藤,4.727495719288467
宇多田,4.709044979086448
圭,4.445347171314153
仮屋,4.401191336112174
健,4.061890534891659
エビ,3.975262975366655
美紀,3.763823809784636
with,3.758904464676899
幹,3.5329109153603584
壮,3.2240817006373157
石野,3.085159997711921
東宝,3.003044518274494
カレン,2.9624040160106198
桑田,2.8264066690848493
人志,2.569375193230053
芸人,2.474303522987632
ギャル,2.3961037229655537
坂上,1.9376622467293667
別所,1.8949852750965799
瑠,1.850826583969411
まひる,1.744138990112252
退団,1.7270754536410806
