福島県,1972589
茨城県,2634383
栃木県,3072321
群馬県,2495086
埼玉県,3645586
千葉県,4762632
東京都,20760905
神奈川県,5718915
新潟県,1632818
富山県,1149080
石川県,1397534
福井県,787756
山梨県,1403973
長野県,2840316
岐阜県,2712106
静岡県,7824001
愛知県,8236534
三重県,2314873
滋賀県,1549653
京都府,3639321
大阪府,5372515
兵庫県,4596719
奈良県,1575140
和歌山県,1589612
鳥取県,852680
島根県,907678
岡山県,1866899
広島県,2121923
山口県,1163973
徳島県,774344
香川県,966468
愛媛県,966948
高知県,794280
福岡県,4017027
佐賀県,2710966
長崎県,1383456
熊本県,1588820
大分県,1310793
宮崎県,999276
鹿児島県,1569819
沖縄県,1088762
北海道,2191018
青森県,527711
岩手県,985148
宮城県,1287098
秋田県,491812
山形県,894462
福島県,1366973
茨城県,2090806
栃木県,2270801
群馬県,1804438
埼玉県,3042993
千葉県,4002750
東京都,21187411
神奈川県,5422967
新潟県,1176914
富山県,814741
石川県,799917
福井県,443404
山梨県,846255
長野県,2133186
岐阜県,1887457
静岡県,6980364
愛知県,7420952
三重県,2033313
滋賀県,980680
京都府,2523390
大阪府,4964391
兵庫県,3662177
奈良県,948665
和歌山県,1237165
鳥取県,573392
島根県,552110
岡山県,1337735
広島県,1454915
山口県,860905
徳島県,539396
香川県,685394
愛媛県,671877
高知県,510798
福岡県,3341663
佐賀県,2167793
長崎県,1149049
熊本県,1082928
大分県,934507
宮崎県,730184
鹿児島県,1223639
沖縄県,936983
