name,burst_count,burst_views_sum,news_count,all_news_count,pop_diff,aware_diff,202208人気度,202208知名度,202302人気度,202302知名度,burst_score_sum,all_score_sum,burst_pos_count,burst_neg_count,all_pos_count,all_neg_count,burst_nonzero_count,all_nonzero_count
井ノ原快彦,11,64696,36,168.0,-4.099999999999998,0.7999999999999972,31.9,88.8,27.8,89.6,44.0,152.0,24.0,10.0,109.0,42.0,34.0,151.0
井上咲楽,14,44963,28,179.0,2.3000000000000007,2.299999999999997,9.2,71.5,11.5,73.8,29.0,238.0,22.0,5.0,151.0,26.0,27.0,177.0
井上真央,9,143119,55,235.0,7.099999999999998,1.5999999999999943,19.8,75.2,26.9,76.8,67.0,222.0,46.0,6.0,167.0,46.0,52.0,213.0
井上祐貴,14,20583,17,52.0,-0.09999999999999998,-0.8000000000000003,0.5,4.2,0.4,3.4,29.0,63.0,15.0,1.0,34.0,7.0,16.0,41.0
井之脇海,16,183894,38,99.0,2.8000000000000003,8.299999999999997,3.9,31.0,6.7,39.3,18.0,96.0,20.0,9.0,68.0,13.0,29.0,81.0
井川遥,6,27470,19,187.0,0.9000000000000021,2.5,23.9,73.3,24.8,75.8,2.0,23.0,8.0,5.0,70.0,63.0,13.0,133.0
井手上漠,15,77251,15,70.0,-0.40000000000000013,2.9000000000000004,1.8,12.9,1.4,15.8,19.0,109.0,11.0,1.0,61.0,3.0,12.0,64.0
井本彩花,13,32613,14,55.0,-0.2,-0.19999999999999973,0.2,4.1,0.0,3.9,22.0,81.0,11.0,1.0,40.0,4.0,12.0,44.0
井桁弘恵,18,145904,55,145.0,0.2999999999999998,7.800000000000001,5.5,18.4,5.8,26.2,63.0,151.0,41.0,6.0,104.0,17.0,47.0,121.0
井森美幸,13,17841,13,57.0,2.3000000000000007,-0.7000000000000028,20.9,86.5,23.2,85.8,1.0,4.0,4.0,4.0,14.0,12.0,8.0,26.0
井浦新,5,44327,7,92.0,6.899999999999999,5.100000000000001,14.3,53.5,21.2,58.6,13.0,151.0,7.0,0.0,83.0,5.0,7.0,88.0
今井翼,4,12087,2,49.0,-4.6,1.7999999999999972,12.0,66.9,7.4,68.7,-2.0,9.0,0.0,2.0,13.0,18.0,2.0,31.0
今田耕司,9,32205,26,117.0,-3.1999999999999993,-0.6999999999999886,29.2,96.1,26.0,95.4,14.0,47.0,16.0,6.0,60.0,31.0,22.0,91.0
今野浩喜,6,10067,5,30.0,-0.9000000000000004,2.200000000000003,8.5,68.8,7.6,71.0,1.0,7.0,1.0,0.0,11.0,4.0,1.0,15.0
仲村トオル,10,21954,16,55.0,-1.3999999999999986,4.3999999999999915,24.4,80.7,23.0,85.1,9.0,20.0,9.0,4.0,28.0,17.0,13.0,45.0
仲里依紗,7,88543,59,343.0,-0.1999999999999993,1.4000000000000057,22.3,71.3,22.1,72.7,83.0,444.0,49.0,10.0,286.0,40.0,59.0,326.0
仲野太賀,4,43571,23,232.0,-0.1999999999999993,1.2000000000000028,20.2,51.9,20.0,53.1,42.0,293.0,23.0,0.0,167.0,28.0,23.0,195.0
仲間由紀恵,6,21044,11,102.0,-1.5999999999999979,1.2999999999999972,31.7,89.0,30.1,90.3,-5.0,17.0,2.0,7.0,47.0,41.0,9.0,88.0
伊原六花,15,107633,34,112.0,-0.40000000000000036,4.100000000000001,5.5,26.2,5.1,30.3,71.0,215.0,33.0,0.0,108.0,2.0,33.0,110.0
伊原剛志,11,20855,13,57.0,4.300000000000001,1.5999999999999943,9.2,69.2,13.5,70.8,-4.0,15.0,2.0,5.0,17.0,9.0,7.0,26.0
伊武雅刀,7,24693,14,41.0,1.4000000000000004,3.6000000000000085,15.6,79.6,17.0,83.2,6.0,14.0,5.0,0.0,13.0,3.0,5.0,16.0
伊沢拓司,9,46762,11,71.0,-2.700000000000001,2.799999999999997,15.8,72.2,13.1,75.0,17.0,113.0,9.0,0.0,62.0,6.0,9.0,68.0
伊藤あさひ,3,2576,9,47.0,-0.29999999999999993,2.5,0.7,3.5,0.4,6.0,-3.0,8.0,3.0,6.0,18.0,15.0,9.0,33.0
伊藤歩,6,88008,2,64.0,0.20000000000000018,-0.5,2.3,14.3,2.5,13.8,-3.0,32.0,1.0,1.0,27.0,8.0,2.0,35.0
伊藤沙莉,7,55015,23,171.0,-1.1000000000000014,0.7000000000000028,28.0,60.9,26.9,61.6,30.0,183.0,19.0,2.0,130.0,15.0,21.0,145.0
伊藤淳史,6,18393,8,51.0,1.6000000000000014,3.700000000000003,20.2,82.1,21.8,85.8,0.0,13.0,1.0,1.0,13.0,8.0,2.0,21.0
伊藤英明,12,135139,56,161.0,6.900000000000002,3.799999999999997,18.4,82.7,25.3,86.5,52.0,117.0,41.0,9.0,113.0,31.0,50.0,144.0
伊野尾慧,6,13103,5,84.0,-2.0,-1.2000000000000028,13.3,69.9,11.3,68.7,3.0,68.0,2.0,1.0,61.0,17.0,3.0,78.0
伊集院光,11,47690,20,96.0,-3.8999999999999986,0.29999999999999716,20.2,90.3,16.3,90.6,1.0,21.0,4.0,8.0,39.0,35.0,12.0,74.0
佐々木希,8,44689,73,294.0,-2.6999999999999993,-1.8999999999999915,23.4,82.3,20.7,80.4,71.0,189.0,60.0,7.0,199.0,73.0,67.0,272.0
