name,name2,gender,pop_diff_past,aware_diff_past,201902人気度,201902知名度,burst_count,burst_views_sum,news_count,all_news_count,pop_diff,aware_diff,202208人気度,202208知名度,202302人気度,202302知名度,burst_score_sum,all_score_sum,burst_pos_count,burst_neg_count,all_pos_count,all_neg_count,burst_nonzero_count,all_nonzero_count,pagerank,browserank,pub_score1,pub_score2,pub_score3,weightedPV1,weightedPV2,weightedPV3,weightedPV4,weightedPV5,allPV,burst_weightedPV1,burst_weightedPV5,weightedPV1_past,weightedPV2_past,weightedPV3_past,weightedPV4_past,weightedPV5_past,allPV_past
イモトアヤコ,イモトアヤコ,女性,-10.3,-0.5,45.5,98.2,10,24932,4,70,1.3,-0.2,35.2,97.7,36.5,97.5,10,109,4,0,63,7,4,70,4.24E-08,0.002192025697,5.70699656,129822.7248,14.9254003,26041.01961,60750.94602,9820.540057,706.3805212,37349.68379,133287,3641.429356,4629.307456,283537.4751,587725.8587,15660.84169,1308.144314,266024.6267,1693990
ウド鈴木,ウド鈴木,男性,-2,-2.6,18.8,95,9,14525,16,55,-0.7,-0.5,16.8,92.4,16.1,91.9,23,51,12,3,36,8,15,44,1.13E-07,0.0002454762593,4.523800113,100385.5059,10.96759078,15327.12475,36320.85817,7869.008172,639.826292,23221.77976,77084,1629.218619,2276.806913,82934.75841,174274.024,8044.871633,754.438692,82486.58602,487660
オダギリジョー,オダギリジョー,男性,4.6,-0.6,18.9,88,10,74222,84,234,3,0.7,23.5,87.4,26.5,88.1,108,135,59,10,103,47,69,150,3.96E-09,0.0001635616353,20.14394237,384412.7894,37.14862744,54572.47125,126617.9194,16227.31593,1355.773191,76936.43797,280758,11477.08565,14901.32619,421191.6481,889248.5718,13870.81483,1656.95568,424749.1025,2450153
カズレーザー,カズレーザー,男性,4,3.4,29.6,92.7,13,51839,50,254,0.4,0.7,33.6,96.1,34,96.8,45,118,32,6,121,53,38,174,1.16E-11,0.000145621747,24.001704,498558.9293,55.40999965,62447.31767,148768.3447,35197.45222,3687.213158,97107.53009,312557,8941.510783,11975.06634,500461.5604,1035942.064,25474.74382,3056.051792,467700.6737,2995686
カンニング竹山,カンニング竹山,男性,-5.7,-3.2,22.3,97.2,8,19146,21,137,-0.3,0.3,16.6,94,16.3,94.3,16,-25,16,2,34,59,18,93,6.26E-08,0.0006605760637,10.78052376,202880.3191,24.46808511,22595.30758,54052.40421,13399.38335,1551.267283,35765.00292,112568,2302.983095,3627.629671,183222.0296,380310.0749,9996.326956,1025.989122,173037.319,1092804
ガンバレルーヤ,ガンバレルーヤ,グループ,6.4,1.2,20.5,88,12,37521,14,97,2.5,0.5,26.9,89.2,29.4,89.7,23,78,12,1,65,26,13,91,1.94E-08,0.0003371606119,8.885049264,196059.9682,20.1859769,25805.69466,60747.41425,12051.45818,818.000253,38103.98177,130774,7297.066361,9877.905833,296528.6656,613114.1975,16188.67958,3173.071562,277321.5245,1779181
キムラ緑子,キムラ緑子,女性,-3.5,-9.8,16.1,62.5,6,13302,7,56,0.1,0.8,12.6,52.7,12.7,53.5,0,23,1,2,19,6,3,25,4.44E-09,1.86E-05,4.897708756,105262.963,10.20485521,17991.97792,42142.97403,7230.292656,630.6018457,26262.67046,91671,2730.028118,3557.064038,132489.5371,273418.3544,6457.922214,676.9050559,122153.0303,796048
ケンドーコバヤシ,ケンドーコバヤシ,男性,0.8,-1.2,21.9,93.1,6,24481,8,95,0.3,0,22.7,91.9,23,91.9,6,53,6,2,52,18,8,70,1.08E-07,0.001280133447,6.565651478,132845.8283,14.67149878,33092.99669,81873.24789,33626.68122,4747.217036,59528.45361,159717,4043.936487,8815.281529,249769.7202,520680.2098,16134.44577,3030.581956,241719.6522,1482588
サンドウィッチマン_(お笑いコンビ),サンドウィッチマン_(お笑いコンビ),グループ,3,0.7,61.8,97.2,7,41057,28,233,2.6,0.2,64.8,97.9,67.4,98.1,21,206,17,4,158,32,21,190,2.14E-07,0.004210785492,18.25568553,413262.6192,44.56075668,64405.45569,153909.1971,38969.09197,3835.090116,101033.5462,321165,11002.68661,16135.81694,541711.5897,1127037.862,29871.62831,2803.979849,516194.3,3220817
シシド・カフカ,シシド・カフカ,女性,1.2,-3.7,10.1,64.1,3,7996,3,32,0,0,11.3,60.4,11.3,60.4,4,20,2,0,14,6,2,20,1.28E-08,5.92E-05,2.20887167,49333.40291,5.369621515,12638.29073,29542.37748,5037.031049,483.0072959,18372.6634,64595,1529.483316,1890.396878,292531.935,598624.4982,6429.798137,513.9399703,259528.4412,1774167
タカアンドトシ,タカアンドトシ,グループ,2.8,-1.5,37.2,96.5,8,19947,6,55,-0.9,-0.3,40,95,39.1,94.7,0,48,1,2,34,9,3,43,1.19E-07,0.0009294772278,5.842188674,94188.93748,12.09873907,26903.37585,63744.99981,14179.20063,1323.805907,40958.07074,135430,3866.106579,5538.668097,223510.779,469433.7537,16748.86132,2820.06055,222774.9616,1313561
タモリ,タモリ,男性,-0.5,-2,43.2,98.6,13,67548,58,278,-2.7,0,42.7,96.6,40,96.6,26,57,29,9,104,65,38,169,3.22E-07,0.004447709666,27.00862653,628512.7212,60.19235325,68822.0058,163796.3479,38353.4558,3322.247908,105967.0061,344534,14229.99629,23569.87484,442426.0572,926977.4065,29891.95084,2698.318699,433866.8928,2607478
ダレノガレ明美,ダレノガレ明美,女性,-5.7,-2.5,12.4,86,13,24218,30,101,1.4,1.3,6.7,83.5,8.1,84.8,14,71,18,10,67,26,28,93,3.75E-10,3.33E-05,7.251902214,171247.4103,19.72553917,17505.158,42147.34021,12011.75733,1647.008175,28599.1123,86816,3810.88929,5436.423481,189976.1272,392117.9359,12222.57274,1283.573636,175592.499,1142343
ディーン・フジオカ,ディーン・フジオカ,男性,-1.1,0.9,21.6,85.3,3,16904,10,152,1.6,0.7,20.5,86.2,22.1,86.9,12,188,8,2,125,20,10,145,9.36E-09,0.0001390915855,11.33171926,290716.7873,29.36688882,40481.89431,96624.15934,24364.91867,2969.040685,63889.69305,202459,4000.532431,8421.4128,532985.2664,1127583.3,53825.86275,2912.226031,542133.4591,3108096
トラウデン直美,トラウデン直美,女性,3.4,33.8,1.2,5.8,19,89924,22,104,0.5,-0.3,4.6,39.6,5.1,39.3,7,19,9,7,40,25,16,65,0,0.0001101930919,8.620982443,221005.3129,23.05804254,48080.08882,112258.4032,16697.34173,1292.705016,69161.62755,245595,16547.71503,23612.7659,440459.6326,918790.7385,35726.87559,3949.094774,425777.5653,2612875
トリンドル玲奈,トリンドル玲奈,女性,5.5,7.4,8.3,71.5,10,57328,35,134,-0.7,-1,13.8,78.9,13.1,77.9,42,185,29,2,119,7,31,126,0,1.14E-05,11.52934908,272285.7768,29.77839652,48498.72141,116199.0774,33719.69455,3646.586232,77298.53063,241982,11445.79665,14266.67621,350342.1891,740028.2583,27289.9098,3881.773632,356233.3974,2042940
ナイツ_(お笑いコンビ),ナイツ_(お笑いコンビ),グループ,-2.3,-0.9,36.8,89.9,4,14472,2,358,0,-0.5,34.5,89,34.5,88.5,-2,264,0,2,243,62,2,305,1.78E-07,0.002021472591,25.4407068,374731.0518,41.57492644,24738.6069,59176.38812,14770.83374,1013.853013,38455.47658,122973,2393.147697,3572.52387,321106.2179,660553.5162,12405.16911,1385.125959,291952.7508,1936208
バカリズム,バカリズム,男性,4.7,1.6,31.2,90.6,6,20890,22,259,-1.7,0.2,35.9,92.2,34.2,92.4,28,255,16,1,167,32,17,199,1.98E-08,0.0007658516929,24.0052824,545957.1743,58.97547499,48856.62172,120700.742,48082.76694,6456.338229,87162.77589,235686,2213.849759,2668.448311,385850.8861,802205.1497,16321.6344,1404.644778,366092.1964,2293236
ヒロミ,ヒロミ,男性,-1.9,-1.2,28.1,95.9,8,20945,45,269,-0.2,1.1,26.2,94.7,26,95.8,13,116,24,15,136,79,39,215,3.90E-07,0.002303860983,21.63518059,504006.4305,57.78532353,34367.60157,82003.76385,20002.73843,1926.991531,53572.91658,171643,4763.362035,8176.991151,311040.2546,648534.6738,21611.29825,2398.193085,299707.6112,1846288
ビビる大木,ビビる大木,男性,-1.7,-4.1,13.6,93.5,6,9793,11,57,-1.3,-0.4,11.9,89.4,10.6,89,-4,7,1,5,14,10,6,24,9.59E-08,9.45E-05,4.987510897,92328.66622,10.80070955,13229.29284,31233.10679,6430.499769,524.2201595,19806.83876,66821,1795.184881,2444.932439,89699.83868,187941.5109,6289.906048,785.3436583,88202.69849,528690
ビートたけし,ビートたけし,男性,-5.7,-2,38.1,99.5,2,7771,8,179,-6.6,-0.7,32.4,97.5,25.8,96.8,3,-34,4,1,54,88,5,142,7.41E-07,0.01998968042,18.59779632,376706.7937,37.59395578,67858.86997,161730.6047,40339.02511,3971.674098,105578.5047,339699,1599.769563,2066.476445,619451.4796,1297388.867,36612.78927,4022.096935,606902.8722,3651138
ブラックマヨネーズ,ブラックマヨネーズ,グループ,1.1,0,23,91.2,7,7671,10,93,-2,-0.6,24.1,91.2,22.1,90.6,9,23,7,2,43,29,9,72,5.66E-08,0.0001636904903,6.118027771,116046.987,14.90476192,13831.41313,33023.05673,8637.586767,761.5274858,21570.59391,69102,1138.63751,1696.227278,102854.0623,214913.3113,7195.499912,749.3934099,99891.19096,608368
ベッキー,ベッキー,女性,-5.8,-2.9,17.3,95.6,7,16742,7,110,0.4,1.5,11.5,92.7,11.9,94.2,-3,17,2,5,48,41,7,89,9.66E-08,0.001327809711,10.28233765,217823.6728,20.444842,28341.67535,66789.46492,13704.2786,1146.11132,42235.00346,143537,3292.741337,4625.997601,259127.6757,537019.5266,14649.48936,1348.689159,243085.3397,1549408
ホラン千秋,ホラン千秋,女性,2.1,1.8,15.8,85.3,12,120135,55,222,1.7,0,17.9,87.1,19.6,87.1,-5,-18,25,26,72,92,51,164,3.80E-08,0.0008293523378,18.61442595,521501.4227,47.83973741,80578.07002,191740.9659,49899.59002,3434.438093,123490.9401,404072,21779.21943,30935.36595,436855.5643,914315.8079,34259.71599,2630.149999,426458.0931,2579600
マキタスポーツ,マキタスポーツ,男性,-1.6,-6,8.3,55.4,3,7810,5,179,-0.2,4.2,6.7,49.4,6.5,53.6,-1,-35,2,3,29,76,5,105,9.90E-08,0.0003539417254,13.8882098,223278.6762,24.5407174,17912.67432,42975.86798,11241.67309,999.1569726,28342.6729,88829,1074.925076,1874.765022,113238.6736,234769.1695,5341.424842,622.5604032,106440.2935,676125
マギー_(モデル),マギー_(モデル),女性,-2.3,-7.7,8.3,73.5,8,15914,18,257,-1,-1.9,6,65.8,5,63.9,4,89,7,3,119,70,10,189,9.86E-10,2.16E-05,20.78856487,351667.1906,41.7020662,16251.05902,39047.09827,12504.06824,659.3667833,25512.21504,80753,2528.92016,5049.176931,135342.414,283196.1456,11220.29239,1396.63168,132588.0994,799604
マツコ・デラックス,マツコ・デラックス,その他,0.7,0,51.9,98.6,5,23182,32,456,-1.6,0.3,52.6,98.6,51,98.9,25,179,22,9,251,158,31,409,9.23E-08,0.001245151732,32.84368317,915752.3101,101.0033458,57131.06828,135997.0379,32045.69727,4324.49163,89632.45811,286551,5978.959149,12003.95137,502704.9699,1041273.619,29341.66285,3596.895501,471524.6845,3008695
ムロツヨシ,ムロツヨシ,男性,0.4,5.6,49,87.1,8,48691,26,137,-2.7,0.2,49.4,92.7,46.7,92.9,23,184,16,2,112,9,18,121,1.05E-07,0.003383558188,10.62459335,266315.7647,26.42936485,38290.43815,90754.01469,20325.20714,2634.024025,59060.40871,193007,8790.047917,13095.98428,529886.1082,1097536.139,23489.7114,1453.107087,494699.567,3165417
ユースケ・サンタマリア,ユースケ・サンタマリア,男性,-7.8,-5.1,28.5,93.1,9,24782,8,34,-3.5,1.2,20.7,88,17.2,89.2,3,6,4,1,12,10,5,22,1.40E-07,0.0003951593924,3.483337842,72481.80861,7.077236252,20789.26615,48641.56633,9014.259201,734.8239722,30237.36529,106193,4354.623771,5851.530284,184817.8081,383074.6331,9687.073822,939.2294329,173468.5602,1105175
リリー・フランキー,リリー・フランキー,男性,-3.8,-4.8,21.1,85.7,3,8461,3,79,-0.7,1.8,17.3,80.9,16.6,82.7,1,21,2,1,29,13,3,42,3.48E-08,0.0006184373932,6.612760691,127918.9322,12.87726559,25147.36893,59820.20703,14544.9775,1501.956116,38935.49185,126221,1256.179083,1606.773294,238049.5593,494048.517,16376.74855,1694.960422,225041.9412,1422078
三吉彩花,三吉彩花,女性,0.7,8.9,4.1,23.5,7,30999,22,84,0.5,-0.2,4.8,32.4,5.3,32.2,32,142,17,1,75,4,18,79,1.15E-09,6.71E-05,7.698471121,169955.102,16.21197266,40408.12026,96946.22204,27187.88704,1698.959309,63354.45154,200372,5785.650693,8581.223973,477697.3544,985477.0981,21189.08914,1686.274882,439049.2779,2869185
三宅裕司,三宅裕司,男性,-4.4,-7.6,16.3,89.9,7,23528,12,59,1.6,2.3,11.9,82.3,13.5,84.6,4,23,4,3,26,13,7,39,3.30E-08,3.32E-05,5.097122417,94378.95051,10.36353008,16811.86458,39183.59231,6242.695678,500.2611747,24092.39119,86158,4126.970866,5280.641542,81083.22203,170457.0586,6978.814985,655.1318571,80711.2939,476536
三戸なつめ,三戸なつめ,女性,-1.4,-15.4,4.1,66.2,2,10978,0,33,-0.2,-1.1,2.7,50.8,2.5,49.7,0,12,0,0,16,7,0,23,0,9.82E-07,1.883152367,36104.72157,4.050077532,8109.304677,18936.0587,2633.970688,289.2977518,11742.51176,41416,2081.284105,2981.282089,76142.79344,157699.775,2866.731236,266.9103121,71124.61642,454749
三浦友和,三浦友和,男性,-1.1,-2.7,20,84.8,5,17241,20,128,0.4,0.2,18.9,82.1,19.3,82.3,28,73,17,0,73,24,17,97,5.79E-08,0.000318550616,9.930046324,242218.1509,21.61581486,37091.75625,87360.40502,16297.08318,1339.02436,55024.99883,187736,2038.998789,2514.08426,213944.4565,445701.8181,14891.86789,1526.65307,205315.6313,1270601
