name,burst_count,sentiment_mean,news_count,pop_diff,aware_diff
ガンバレルーヤ,17,0.8620689655172413,29,2.5,0.5
キムラ緑子,7,0.75,8,0.09999999999999964,0.7999999999999972
ケンドーコバヤシ,6,0.8333333333333334,12,0.3000000000000007,0.0
サンシャイン池崎,17,1.0,25,0.29999999999999716,0.0
サンドウィッチマン_(お笑いコンビ),9,0.9411764705882353,17,2.6000000000000085,0.19999999999998863
シシド・カフカ,4,1.0,9,0.0,0.0
シソンヌ_(お笑いコンビ),9,0.8333333333333334,30,3.1000000000000014,2.6000000000000014
タカアンドトシ,11,0.8888888888888888,9,-0.8999999999999986,-0.29999999999999716
タモリ,16,0.8923076923076924,65,-2.700000000000003,0.0
ダレノガレ明美,14,0.6333333333333333,30,1.3999999999999995,1.2999999999999972
チョコレートプラネット,15,0.8541666666666666,48,-0.8999999999999986,0.3999999999999915
ティモンディ,16,0.96875,64,-1.7999999999999972,5.099999999999994
ディーン・フジオカ,4,0.8947368421052632,19,1.6000000000000014,0.7000000000000028
トラウデン直美,23,0.8888888888888888,18,0.5,-0.30000000000000426
トリンドル玲奈,12,0.88,50,-0.7000000000000011,-1.0
トータス松本,5,0.9230769230769231,13,-0.7000000000000011,4.3999999999999915
ナイツ_(お笑いコンビ),6,0.8888888888888888,9,0.0,-0.5
バカリズム,7,0.9,20,-1.6999999999999957,0.20000000000000284
ヒコロヒー,13,0.9210526315789473,38,4.300000000000001,4.300000000000011
ヒロミ,10,0.90625,32,-0.1999999999999993,1.0999999999999943
ビビる大木,7,0.9285714285714286,14,-1.3000000000000007,-0.4000000000000057
ビートたけし,2,0.5,6,-6.599999999999998,-0.7000000000000028
ファーストサマーウイカ,11,0.9024390243902439,41,1.0,2.0
フワちゃん,8,0.9130434782608695,23,2.799999999999997,0.7999999999999972
ブラックマヨネーズ,7,1.0,11,-2.0,-0.6000000000000085
ベッキー,11,0.7777777777777778,27,0.40000000000000036,1.5
ホラン千秋,12,0.9555555555555556,45,1.7000000000000028,0.0
マキタスポーツ,4,0.25,4,-0.20000000000000018,4.200000000000003
マギー_(モデル),12,0.9130434782608695,23,-1.0,-1.8999999999999986
マツコ・デラックス,5,0.8235294117647058,17,-1.6000000000000014,0.30000000000001137
ミキ_(お笑いコンビ),12,0.8064516129032258,31,-1.8000000000000007,-1.7999999999999972
ミルクボーイ,4,1.0,5,1.4000000000000004,-1.2000000000000028
ムロツヨシ,8,0.95,20,-2.6999999999999957,0.20000000000000284
ユースケ・サンタマリア,11,0.9166666666666666,24,-3.5,1.2000000000000028
リリー・フランキー,3,1.0,5,-0.6999999999999993,1.7999999999999972
ローラ_(モデル),1,1.0,4,-1.0999999999999979,0.20000000000000284
一ノ瀬颯,11,0.9230769230769231,13,-0.7,1.8000000000000007
三吉彩花,8,1.0,30,0.5,-0.19999999999999574
三宅弘城,1,1.0,1,0.2999999999999998,0.5999999999999943
三宅裕司,8,0.8181818181818182,11,1.5999999999999996,2.299999999999997
三戸なつめ,2,,0,-0.20000000000000018,-1.0999999999999943
三浦友和,6,0.9130434782608695,23,0.40000000000000213,0.20000000000000284
三浦知良,12,0.9615384615384616,26,-1.4000000000000021,2.1000000000000085
三浦翔平,12,0.8947368421052632,38,-3.0,-1.2999999999999972
三浦貴大,8,1.0,3,-0.5999999999999996,1.1999999999999957
三浦透子,6,0.88,25,1.9,4.699999999999999
上地雄輔,8,1.0,6,2.0,1.9000000000000057
