name,burst_count,burst_views_sum,news_count,all_news_count,pop_diff,aware_diff,202208人気度,202208知名度,202302人気度,202302知名度,burst_score_sum,all_score_sum,burst_pos_count,burst_neg_count,all_pos_count,all_neg_count,burst_nonzero_count,all_nonzero_count,pagerank,browserank,pub_score1,pub_score2,pub_score3
福原遥,8,164526,53,512.0,5.700000000000001,8.899999999999999,15.4,44.4,21.1,53.3,111.0,746.0,51.0,0.0,454.0,32.0,51.0,486.0,2.7693052069220815e-07,0.007310126071966425,44.646525113331386,1389139.9805000839,119.803737684669
福地桃子,12,122724,13,116.0,2.3,1.5999999999999979,2.8,21.6,5.1,23.2,13.0,161.0,11.0,1.0,108.0,3.0,12.0,111.0,5.904105010838061e-09,3.6677815978795804e-05,9.211378216568187,198250.99865832872,19.798296888400312
福士蒼汰,3,21178,16,103.0,0.9000000000000021,-0.4000000000000057,23.7,85.7,24.6,85.3,25.0,103.0,15.0,0.0,74.0,14.0,15.0,88.0,7.350807819479073e-08,0.0014565623135184681,8.089780602860534,218772.64916656312,20.964273367044857
福山雅治,9,161082,62,287.0,3.200000000000003,1.5,34.9,93.5,38.1,95.0,83.0,324.0,53.0,4.0,224.0,45.0,57.0,269.0,1.4252438728462868e-07,0.0077304598170180394,24.755687022029704,640664.2994013736,54.764031228555965
福本莉子,4,19192,11,154.0,0.0,1.3000000000000007,3.5,14.5,3.5,15.8,16.0,243.0,10.0,1.0,137.0,9.0,11.0,146.0,3.7028582269314262e-09,0.00023896875886711134,11.535377360649065,275094.40168168384,24.927859908747045
福澤朗,4,3581,2,34.0,-1.0,-0.4000000000000057,11.3,86.9,10.3,86.5,0.0,20.0,0.0,0.0,17.0,2.0,0.0,19.0,5.0843177695453815e-08,4.966548111146126e-05,3.66560913506933,47930.68762488247,7.268231753757889
秋元梢,8,21410,6,45.0,0.2999999999999998,0.0,2.5,46.9,2.8,46.9,6.0,36.0,6.0,0.0,29.0,5.0,6.0,34.0,4.546076282186724e-09,1.1814668550364107e-05,3.526661294334393,75220.5561661765,6.880946668779639
秋山竜次,8,19890,10,79.0,-4.5,-0.5,37.2,92.4,32.7,91.9,11.0,81.0,6.0,0.0,53.0,6.0,6.0,59.0,1.9918558176201672e-08,0.00010118793019865202,7.151391392400328,130167.1100615541,14.333625177317755
秋田汐梨,4,5846,14,50.0,0.29999999999999993,0.8000000000000003,0.4,1.9,0.7,2.7,20.0,24.0,10.0,0.0,20.0,8.0,10.0,28.0,1.244779471597833e-09,5.990468200327071e-06,4.560495205788883,66760.23280757634,8.491221043347176
稲垣吾郎,3,4600,10,186.0,-2.799999999999999,-0.4000000000000057,18.2,91.7,15.4,91.3,8.0,240.0,7.0,2.0,159.0,19.0,9.0,178.0,4.084577193931348e-08,0.00011706340873377712,15.080537161766856,291001.7891297248,29.361614242540128
稲森いずみ,7,32517,10,31.0,-0.6999999999999993,-1.1999999999999957,15.6,65.1,14.9,63.9,-5.0,-4.0,0.0,5.0,5.0,11.0,5.0,16.0,0.0,2.339795080831244e-05,3.2559263719536435,65993.66062105336,7.067307943422157
稲葉友,5,20088,10,50.0,-0.6999999999999997,1.9999999999999982,2.8,15.9,2.1,17.9,20.0,33.0,9.0,1.0,20.0,4.0,10.0,24.0,6.429004951002938e-09,0.00011362577327374274,4.252756735691054,71915.74248357058,9.390286797128894
窪田正孝,9,41526,73,203.0,-2.1999999999999993,1.2000000000000028,23.4,78.8,21.2,80.0,95.0,265.0,67.0,4.0,182.0,10.0,71.0,192.0,3.3733850930903996e-09,0.00011145905050620416,14.73023239867271,371930.74135319964,34.1698438825425
竜星涼,11,148125,64,283.0,3.0,10.799999999999997,5.1,25.0,8.1,35.8,79.0,241.0,47.0,12.0,178.0,58.0,59.0,236.0,3.779930046152818e-09,0.000108999539566599,23.09301290021099,630735.432999909,58.79674059660548
竹下景子,4,21441,9,51.0,3.5999999999999996,-3.1999999999999957,10.6,64.8,14.2,61.6,6.0,28.0,5.0,1.0,25.0,6.0,6.0,31.0,1.1118883777448073e-12,0.00020251308038914142,4.275828060745906,94259.50508717766,8.713472595633593
竹中直人,3,7188,3,65.0,-1.8999999999999986,2.799999999999997,29.9,86.4,28.0,89.2,2.0,34.0,2.0,0.0,36.0,8.0,2.0,44.0,1.0751599912667168e-07,0.0002841677723438177,5.537128975611523,119781.31016686364,12.386521703681604
竹内涼真,10,67830,51,247.0,0.7000000000000028,6.400000000000006,23.4,82.3,24.1,88.7,57.0,232.0,41.0,9.0,183.0,45.0,50.0,228.0,1.7055380442649824e-08,0.0005142621315429307,19.525117447314273,465269.89829507854,45.804704265349116
