name,人気度変化,知名度変化,スコア,ニュース数,positive数,negative数,202208人気度,202208知名度,202302人気度,202302知名度
高良健吾,2.299999999999999,5.200000000000003,0,75,0,0,8.3,48.8,10.6,54
国分太一,-2.3000000000000007,1.0999999999999943,0,210,0,0,24.6,92.9,22.3,94
児嶋一哉,0.5,1.5999999999999943,0,73,0,0,26.4,89.2,26.9,90.8
小関裕太,1.1,2.700000000000003,0,102,0,0,3.9,34.5,5,37.2
小瀧望,1.1999999999999997,1.4000000000000021,0,115,0,0,3.4,23.7,4.6,25.1
小手伸也,0.40000000000000036,2.799999999999997,0,72,0,0,13.1,71.7,13.5,74.5
後藤輝基,1.6999999999999993,3.3999999999999915,0,85,0,0,20.2,86.7,21.9,90.1
小峠英二,2.200000000000003,1.1000000000000085,0,165,0,0,32,94.3,34.2,95.4
小林薫,3.1999999999999993,4.099999999999994,0,181,0,0,13.3,69.9,16.5,74
小日向文世,3.200000000000003,3.0999999999999943,0,79,0,0,29.9,86.5,33.1,89.6
駒木根葵汰,-0.29999999999999993,-0.10000000000000009,0,72,0,0,0.7,3.5,0.4,3.4
小宮浩信,0.1999999999999993,3.5,0,70,0,0,10.4,72.4,10.6,75.9
小宮璃央,0.7999999999999999,1.200000000000001,0,119,0,0,0.4,7.6,1.2,8.8
小籔千豊,-3.6000000000000014,-0.5,0,204,0,0,16.3,88.5,12.7,88
今野浩喜,-0.9000000000000004,2.200000000000003,0,54,0,0,8.5,68.8,7.6,71
斎藤工,-1.1999999999999993,0.29999999999999716,0,210,0,0,29,88.7,27.8,89
堺正章,0.0,-0.3999999999999915,0,65,0,0,15.2,93.3,15.2,92.9
堺雅人,-2.299999999999997,0.0,0,143,0,0,33.3,89.9,31,89.9
坂上忍,-2.5,0.09999999999999432,0,155,0,0,13.3,94.9,10.8,95
坂口健太郎,3.900000000000002,2.1000000000000085,0,203,0,0,21.9,79.1,25.8,81.2
櫻井海音,-0.40000000000000013,3.5,0,128,0,0,1.8,8.5,1.4,12
櫻井翔,-0.6999999999999957,0.5999999999999943,0,210,0,0,36.8,95.9,36.1,96.5
桜田通,0.40000000000000013,0.1999999999999993,0,85,0,0,1.2,11.3,1.6,11.5
佐々木蔵之介,-0.20000000000000284,3.8999999999999915,0,210,0,0,24.1,81.2,23.9,85.1
笹野高史,-0.7000000000000028,1.9000000000000057,0,72,0,0,25.1,87.1,24.4,89
佐藤寛太,-1.4,-2.0,0,88,0,0,1.9,13.3,0.5,11.3
佐藤浩市,0.0,1.8000000000000114,0,110,0,0,25.1,84.6,25.1,86.4
佐藤勝利,0.5,4.799999999999997,0,210,0,0,10.1,46.5,10.6,51.3
佐藤二朗,3.3000000000000007,0.5,0,208,0,0,30.3,86.4,33.6,86.9
佐藤大樹,-0.6000000000000001,-1.0999999999999996,0,194,0,0,1.8,14.7,1.2,13.6
佐藤健,2.0,6.200000000000003,0,210,0,0,35.9,80.7,37.9,86.9
佐藤隆太,2.3000000000000007,1.0999999999999943,0,78,0,0,21.8,88.5,24.1,89.6
佐野史郎,-0.5,4.3999999999999915,0,69,0,0,11.3,81.4,10.8,85.8
佐野勇斗,0.5,-3.1000000000000014,0,197,0,0,8,38.9,8.5,35.8
澤部佑,2.0,0.0,0,108,0,0,25.1,93.5,27.1,93.5
沢村一樹,-1.1999999999999993,1.6000000000000085,0,148,0,0,28.3,85.1,27.1,86.7
サンシャイン池崎,0.29999999999999716,0.0,0,102,0,0,21.1,91.5,21.4,91.5
椎名桔平,1.2000000000000028,4.6000000000000085,0,65,0,0,20.9,79.1,22.1,83.7
重岡大毅,1.3999999999999995,0.19999999999999574,0,125,0,0,6.7,49.7,8.1,49.9
志尊淳,0.6999999999999993,2.4000000000000057,0,210,0,0,16.6,67.3,17.3,69.7
