name,人気度変化,知名度変化,スコア,ニュース数,positive数,negative数,202208人気度,202208知名度,202302人気度,202302知名度
沢口靖子,-4.5,-3.5,71,105,88,17,25.7,83.7,21.2,80.2
SHELLY,-2.8000000000000007,-4.0,46,66,56,10,21.6,84.2,18.8,80.2
シシド・カフカ,0.0,0.0,37,43,40,3,11.3,60.4,11.3,60.4
志田彩良,1.4,2.0999999999999996,77,85,81,4,0.5,5.7,1.9,7.8
志田未来,-0.9000000000000021,3.700000000000003,168,204,186,18,18.6,68.7,17.7,72.4
篠原涼子,1.8999999999999986,0.7000000000000028,109,133,121,12,21.6,90.1,23.5,90.8
柴咲コウ,2.8000000000000007,-0.5999999999999943,166,210,188,22,28.5,89.6,31.3,89
柴田理恵,1.1000000000000014,-0.10000000000000853,105,127,116,11,21.2,95.9,22.3,95.8
渋谷凪咲,1.4000000000000004,6.899999999999999,130,188,159,29,11.2,34.7,12.6,41.6
島崎遥香,0.9000000000000004,-1.1000000000000014,78,102,90,12,4.1,51.2,5,50.1
島崎和歌子,2.3000000000000007,0.0,46,76,61,15,15.8,80.9,18.1,80.9
清水ミチコ,1.5,-3.6000000000000085,59,65,62,3,19.6,86.4,21.1,82.8
趣里,2.5,7.699999999999999,134,210,172,38,7.6,31.2,10.1,38.9
白石聖,-1.6,0.9000000000000004,112,136,124,12,3.5,8.7,1.9,9.6
白石麻衣,-3.099999999999998,-2.4000000000000057,179,203,191,12,21.2,75,18.1,72.6
白石美帆,0.3000000000000007,-1.8999999999999986,11,11,11,0,10.1,65.8,10.4,63.9
新川優愛,-1.3999999999999995,7.800000000000004,75,93,84,9,9.2,38.4,7.8,46.2
杉咲花,-4.099999999999998,-0.20000000000000284,159,207,183,24,23.9,75.8,19.8,75.6
杉本彩,0.20000000000000107,0.5,42,66,54,12,12.7,77,12.9,77.5
鈴木京香,-2.5,-0.20000000000000284,59,83,71,12,21.1,74.7,18.6,74.5
鈴木砂羽,4.700000000000001,1.6000000000000014,74,92,83,9,11.2,61.6,15.9,63.2
鈴木奈々,3.1999999999999993,1.7999999999999972,123,151,137,14,8.3,83.7,11.5,85.5
鈴木保奈美,0.9000000000000004,0.20000000000000284,100,124,112,12,12.9,73.6,13.8,73.8
鈴木ゆうか,0.20000000000000007,0.8999999999999995,69,83,76,7,0.7,4.2,0.9,5.1
鈴木梨央,0.2999999999999998,1.8999999999999986,37,37,37,0,5.7,42.7,6,44.6
須藤理彩,-0.7999999999999998,-2.799999999999997,30,32,31,1,5,41.9,4.2,39.1
鷲見玲奈,0.3000000000000007,3.1000000000000014,132,152,142,10,7.1,41.9,7.4,45
清野菜名,2.6000000000000014,2.799999999999997,178,210,194,16,20.9,59.1,23.5,61.9
関水渚,-0.6999999999999997,0.5,85,121,103,18,2.3,9.2,1.6,9.7
瀬戸朝香,1.5,-0.10000000000000853,138,188,163,25,10.4,64.2,11.9,64.1
染野有来,0.0,0.19999999999999973,41,55,48,7,0.4,2.1,0.4,2.3
大地真央,-1.6000000000000014,-1.2000000000000028,152,158,155,3,21.1,81.4,19.5,80.2
平祐奈,1.4,0.8999999999999986,162,176,169,7,3.4,41.4,4.8,42.3
高岡早紀,0.0,0.19999999999998863,156,160,158,2,11.9,69.9,11.9,70.1
高島彩,-1.4000000000000004,-3.5999999999999943,31,49,40,9,13.8,70.3,12.4,66.7
高嶋ちさ子,0.1999999999999993,-1.4000000000000057,69,89,79,10,25.3,91,25.5,89.6
高島礼子,-0.7000000000000011,-1.2000000000000028,78,88,83,5,15.4,78.9,14.7,77.7
高梨臨,3.0,4.400000000000002,93,103,98,5,5,31.7,8,36.1
高橋惠子,0.2999999999999998,-0.6999999999999957,29,33,31,2,7.8,51.3,8.1,50.6
髙橋ひかる,-1.8999999999999995,1.3000000000000007,113,149,131,18,9.7,29,7.8,30.3
高橋ひとみ,-0.5,-1.5,58,64,61,3,9.9,60.4,9.4,58.9
高橋真麻,0.6999999999999993,-0.29999999999999716,100,150,125,25,11.5,86.5,12.2,86.2
高橋みなみ,-1.5999999999999996,-1.0999999999999943,132,184,158,26,8.7,73.5,7.1,72.4
高橋メアリージュン,-0.1999999999999993,0.20000000000000284,106,120,113,7,13.1,66.2,12.9,66.4
高畑淳子,7.800000000000001,-0.9000000000000057,116,126,121,5,11,80,18.8,79.1
高畑充希,-2.299999999999997,0.0,137,157,147,10,30.4,83.2,28.1,83.2
瀧内公美,-0.8999999999999999,-1.0999999999999996,49,67,58,9,2.5,9.9,1.6,8.8
滝川クリステル,0.5,-0.4000000000000057,81,87,84,3,8.3,91,8.8,90.6
滝沢カレン,-1.8999999999999986,-1.0999999999999943,99,147,123,24,34.5,92.6,32.6,91.5
瀧本美織,1.5999999999999996,2.299999999999997,122,146,134,12,8.5,52.7,10.1,55
竹下景子,3.5999999999999996,-3.1999999999999957,52,58,55,3,10.6,64.8,14.2,61.6
武田梨奈,-0.2999999999999998,0.10000000000000142,34,52,43,9,3,16.5,2.7,16.6
武田玲奈,0.2999999999999998,1.3000000000000007,51,63,57,6,3.2,18.9,3.5,20.2
田中美佐子,-1.0999999999999996,-0.7999999999999972,49,59,54,5,15.6,63.5,14.5,62.7
田中道子,1.9000000000000001,6.800000000000001,68,84,76,8,1.8,18.9,3.7,25.7
田中みな実,1.8999999999999986,0.5,140,210,175,35,19.5,83.9,21.4,84.4
