name,burst_count,burst_views_sum,news_count,all_news_count,pop_diff,aware_diff,202208人気度,202208知名度,202302人気度,202302知名度,burst_score_sum,all_score_sum,burst_pos_count,burst_neg_count,all_pos_count,all_neg_count,burst_nonzero_count,all_nonzero_count,pagerank,browserank,pub_score1,pub_score2,pub_score3,weightedPV1,weightedPV2,weightedPV3,weightedPV4,weightedPV5,allPV,burst_weightedPV1,burst_weightedPV5
栗山千明,3,13745,3,70.0,0.1999999999999993,-1.1999999999999886,16.1,73.1,16.3,71.9,3.0,33.0,2.0,0.0,33.0,11.0,2.0,44.0,1.921872177071425e-08,0.00017336602524587803,6.39428748127853,139840.89897259115,14.860569348006017,45893.45264224502,108535.41535340878,25616.01102783339,3549.424061513298,70758.61409345776,232459,2391.9722120983415,6517.925896118642
桃井かおり,4,48296,0,0.0,1.799999999999999,-0.7000000000000028,15.9,77.7,17.7,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.867433971591589e-08,0.0001474229965329173,0,0,0,36415.24064255946,90399.31028582477,41422.486268880806,1527.518145727111,62484.656023069925,173453,10781.998638574685,20250.197907889728
桐山漣,4,26663,14,51.0,-0.40000000000000036,0.0,5.0,28.3,4.6,28.3,27.0,62.0,13.0,0.0,34.0,4.0,13.0,38.0,1.1901711775153785e-09,1.6986552382259067e-05,3.5254078861854468,87825.61865431606,8.864192818055535,44934.81717009112,102964.87618384171,12164.19456573214,1070.1987526231455,60940.10554553874,235012,3641.0881333963935,4331.465476062756
桐谷健太,8,30738,13,97.0,1.1999999999999993,3.1999999999999886,24.6,86.9,25.8,90.1,13.0,113.0,9.0,2.0,72.0,13.0,11.0,85.0,2.69411475637572e-08,0.00016607330959632032,7.229290095602986,177455.65347936342,17.77348916522637,26008.889107346895,62460.869929126646,16416.51500892906,1213.6345552682396,41006.821052938,128758,5346.178584399356,8100.379087276883
桐谷美玲,5,21866,40,168.0,0.5,-0.20000000000000284,20.4,80.2,20.9,80.0,46.0,170.0,36.0,2.0,142.0,14.0,38.0,156.0,2.835440067752385e-08,0.0005329846110670207,12.934385623482104,327467.4731437139,33.83225424834983,42038.02017763007,98984.69804440037,18601.92302579535,1567.468079297148,62360.41719851614,212921,3056.5715873194135,4150.0097786903725
桑田佳祐,8,125406,72,234.0,3.1999999999999957,1.6000000000000085,42.1,91.3,45.3,92.9,101.0,316.0,63.0,7.0,197.0,31.0,70.0,228.0,4.953126404091626e-07,0.005246729845803326,18.161072397888482,443792.7219178444,37.944605785114796,96095.1307803715,226936.96950532505,42538.32045781224,2477.009844671541,142731.67279950756,483958,18531.674096931154,27436.451802457395
桜井ユキ,7,47949,14,100.0,-0.1999999999999993,1.3000000000000007,9.2,29.9,9.0,31.2,12.0,89.0,11.0,2.0,73.0,19.0,13.0,92.0,5.0806372625922406e-08,0.00020972872888824323,8.356380379167975,187062.9143688366,20.731339513987173,78174.47176408758,181958.3809275002,25492.161907587637,1857.6882173860602,111151.52215148162,400779,8430.584755153453,11665.625184646444
桜井日奈子,8,42164,9,101.0,-1.5,2.5,9.6,43.9,8.1,46.4,6.0,62.0,5.0,3.0,57.0,28.0,8.0,85.0,2.6548395132992462e-08,0.0005916474351377979,6.6534567057401555,150740.38676693488,16.00798631615411,31406.45823863037,73068.41698704258,12457.49144865163,1155.560290003982,44984.193697429044,161556,7063.502468040813,8751.752641719364
桜庭ななみ,8,32710,19,42.0,-1.6000000000000005,-2.6999999999999957,4.4,38.8,2.8,36.1,46.0,59.0,19.0,0.0,34.0,5.0,19.0,39.0,2.5862876317336508e-08,0.00019574355837330225,4.265786556189706,114033.89219438861,12.508624229101043,26006.22254904058,61225.18691664812,11594.096710573067,1197.2838912725106,38803.349192335394,131836,5095.033174528252,6861.17238132851
桜田ひより,10,118461,23,127.0,5.1000000000000005,7.799999999999999,2.3,15.6,7.4,23.4,36.0,222.0,22.0,0.0,118.0,5.0,22.0,123.0,1.7695801995444126e-07,0.001737702121240184,10.274364579613394,250508.06518075932,27.066344907154523,117121.90250474504,274539.00267760747,39536.23695367822,3639.09754441769,170962.80744991574,594830,15753.776222886398,24891.8037563432
桜田通,2,3156,6,62.0,0.40000000000000013,0.1999999999999993,1.2,11.3,1.6,11.5,4.0,60.0,4.0,2.0,41.0,8.0,6.0,49.0,1.0190834910133688e-09,8.486667565638091e-06,4.439715696599442,91416.3934472499,9.812551129754302,21607.845512513857,51833.89844856674,14302.121949020506,979.5760785383454,33936.528992639825,107172,0,0
梅沢富美男,11,30458,23,85.0,-0.29999999999999716,0.7999999999999972,18.9,95.0,18.6,95.8,23.0,43.0,16.0,5.0,52.0,27.0,21.0,79.0,4.1320269377759435e-08,0.00010805238919511165,7.581634415316187,202439.0895352533,18.80540414222227,23281.49025454578,56361.186433698276,18435.142740696298,1667.915912424235,38030.48618855028,114711,6668.344662103888,12150.843551443155
森七菜,7,47965,0,0.0,0.10000000000000142,3.700000000000003,11.2,52.9,11.3,56.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9959145012400284e-07,0.0011649522833408834,0,0,0,67599.64029103203,160866.24739779707,41173.80812079957,3327.2111462312305,104059.76944295337,339067,10013.382083207285,14379.682156549858
森口瑤子,11,82017,22,55.0,0.20000000000000107,-0.6000000000000014,9.7,43.4,9.9,42.8,16.0,45.0,14.0,4.0,33.0,6.0,18.0,39.0,0.0,1.6259005517280366e-05,4.23290454673683,119902.13617889595,11.92242085741815,56812.755036234325,133423.12644751032,21874.052870059462,1607.7114273199286,83161.54475505647,288188,15593.826439077227,21108.018162492157
森尾由美,22,57729,31,57.0,-0.40000000000000036,0.29999999999999716,13.3,59.5,12.9,59.8,22.0,58.0,23.0,6.0,44.0,7.0,29.0,51.0,2.1472635793978345e-09,7.862459001258235e-05,4.5842854887278826,142074.12646212926,14.10885521444125,29793.37193561657,73814.98642905017,28307.850201621943,4566.002574481639,54129.26312011407,143211,10111.070074994508,19342.661732414294
森山未來,5,17484,8,62.0,-1.9000000000000004,5.299999999999997,13.1,64.4,11.2,69.7,16.0,72.0,7.0,0.0,41.0,7.0,7.0,48.0,7.838619279347263e-09,8.22454742287743e-05,4.75971206205006,89212.89001236652,9.193984638494282,26854.919239027615,62327.17898861512,9492.334592970903,828.2697108289817,38037.09169104289,138388,3134.0982272390847,3898.629719900714
森崎ウィン,19,195319,45,197.0,1.7999999999999998,4.099999999999994,4.2,35.2,6.0,39.3,97.0,225.0,37.0,3.0,112.0,17.0,40.0,129.0,0.0,0.0003786457832490774,16.340997453416424,334212.3103399426,34.25583484707721,80639.5710615243,194948.6206793824,61097.75924389015,2240.538894637791,127874.02024137504,396029,33287.298010443556,52894.51962809605
森川葵,11,57202,26,88.0,-0.7000000000000011,-0.6999999999999993,8.8,26.9,8.1,26.2,32.0,88.0,20.0,2.0,61.0,10.0,22.0,71.0,1.1247188601224858e-08,0.0011414985042730989,6.538078400560593,151166.18518945348,16.14296145130243,48053.20430068134,113412.5039793482,23350.246043369836,2599.3466397152883,72532.9217096212,243171,10665.949096573528,16840.063620707908
森星,13,47997,0,0.0,2.0999999999999996,2.299999999999997,8.0,53.1,10.1,55.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010371966366925332,1.0487789170775398e-05,0,0,0,22106.98253966631,51114.197581565495,8394.94494051275,430.1577158227283,30698.359249064953,114500,7411.810101043929,9848.293553944273
森泉,18,87742,0,0.0,-0.3000000000000007,1.4000000000000057,19.1,87.1,18.8,88.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001878900713589615,1.9909396502762534e-05,0,0,0,35178.396631757874,80514.01686640663,9294.8402005245,926.5745773115315,47622.70325153073,184296,13542.967823362394,17442.587974377213
森田想,5,1655,0,20.0,-0.2,0.20000000000000018,0.4,2.5,0.2,2.7,0.0,22.0,0.0,0.0,10.0,0.0,0.0,10.0,4.222605110323143e-07,1.0713309353665493e-05,1.9539173781547317,26850.52545868046,3.253485276807305,3371.579409591974,7984.548893088962,1815.3423034864618,218.79248296991517,5175.561641817936,17016,228.44541645343287,303.31451410947767
森田望智,4,34254,24,75.0,-0.30000000000000004,-1.5,2.1,8.0,1.8,6.5,81.0,74.0,21.0,3.0,23.0,9.0,24.0,32.0,0.0,1.025776691439995e-05,6.219946109835064,128643.93034586917,13.466940298173824,29461.94923978531,77416.18306032103,38058.994551917094,18388.73268518355,76470.92404664028,133948,6729.348782942631,36960.841978676624
森絵梨佳,4,2559,0,0.0,-0.19999999999999996,0.20000000000000018,1.8,7.6,1.6,7.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.354578030608114e-09,4.322469329844797e-06,0,0,0,6582.39539173148,15375.499016100855,2704.437431251612,218.6372853288963,9514.305027032353,33679,583.5218472138857,699.1539919090034
森高千里,9,56425,42,145.0,-1.4000000000000021,0.7000000000000028,22.1,76.6,20.7,77.3,66.0,185.0,37.0,4.0,121.0,17.0,41.0,138.0,7.63711688107334e-09,0.0002381184286668706,12.576551155779006,301961.0429993285,30.89924864511857,54382.005015353425,129054.03322837014,27407.030558310245,2675.6534957310187,83131.41777719921,273043,10519.253300708158,14627.962647435867
椎名桔平,4,8039,1,57.0,1.2000000000000028,4.6000000000000085,20.9,79.1,22.1,83.7,0.0,18.0,0.0,0.0,17.0,5.0,0.0,22.0,4.484715390474517e-08,0.0004199831558768482,4.775563703731254,113535.40557741528,11.436001750821024,22365.625372041304,52522.60446928318,9810.020345247563,994.6056486912453,33081.12227998534,113768,1175.2925079577624,1488.535804793886
椿鬼奴,12,28931,34,138.0,1.1000000000000014,-1.7999999999999972,21.2,85.0,22.3,83.2,-5.0,-28.0,9.0,14.0,34.0,67.0,23.0,101.0,0.0,5.805776711445548e-06,12.400898180613693,236511.3605001861,28.647935264377356,16325.20627265138,37869.92308270772,5962.961166984824,459.0073581922624,23038.853529301636,84199,6569.726014700581,8785.982844478905
榊原郁恵,7,146724,71,150.0,6.899999999999999,0.6000000000000085,16.5,82.8,23.4,83.4,134.0,236.0,61.0,8.0,121.0,20.0,69.0,141.0,1.0544601031790667e-08,3.834287902959555e-05,12.775736023957625,430718.602091491,36.74246859894107,60180.68626383903,142986.88253432472,22563.25279330583,1028.2700222880546,90486.42223840873,299834,18694.67780145668,28156.201303414404
榮倉奈々,11,63613,22,111.0,1.5999999999999979,-0.8000000000000114,28.1,81.9,29.7,81.1,19.0,104.0,19.0,1.0,84.0,6.0,20.0,90.0,3.2852209740080717e-08,0.000367467971889741,8.588314633799898,212987.34139568033,21.228736782093467,54994.02509462888,130692.60377755287,32403.788466679933,4510.109566146493,86065.96481125201,277115,9291.52102468146,14843.968873564872
樋口可南子,3,5518,0,28.0,4.3999999999999995,13.999999999999993,6.2,56.6,10.6,70.6,0.0,-6.0,0.0,0.0,3.0,9.0,0.0,12.0,3.577273836753686e-08,0.00020766330872913651,1.8604504232593497,31730.77222532221,3.079673302754894,13652.63075064964,32130.429950749454,6379.6850887940545,586.3177286792329,20300.50477570072,69264,901.7694193475849,1083.9106497408338
横山だいすけ,2,4204,0,55.0,-1.0000000000000018,-1.1999999999999957,16.6,56.8,15.6,55.6,0.0,22.0,0.0,0.0,23.0,7.0,0.0,30.0,0.0,1.4988037915825749e-05,4.492026220659351,81485.73491489324,8.43391219412255,19285.496908538127,45502.22309460652,9704.276758136948,1369.5223222959914,29415.812343428413,97829,783.5904015277304,2004.0524918077272
横山裕,9,36538,34,161.0,-1.299999999999999,1.4000000000000057,14.2,73.6,12.9,75.0,25.0,139.0,22.0,10.0,112.0,26.0,32.0,138.0,1.996956080182032e-08,5.325455261905932e-05,16.954734754817572,466123.65755066153,40.47470270536965,43861.44995122188,104635.46776125886,24914.992309410856,2180.1748603418896,68050.07302754739,218883,3424.4333318771373,4794.227651677866
横浜流星,7,84631,63,431.0,-2.599999999999998,0.0,29.7,82.1,27.1,82.1,91.0,670.0,54.0,8.0,379.0,36.0,62.0,415.0,2.6532362581341206e-07,0.0022532557111854265,35.969938179847524,764567.9162811415,73.2792135274733,83920.39725412501,194461.8459856155,26692.21791497445,2430.515952926382,118172.4819646298,432958,14071.970585725756,18426.763411995948
横澤夏子,14,18599,17,85.0,1.5999999999999979,-0.3999999999999915,21.6,87.1,23.2,86.7,14.0,74.0,13.0,2.0,66.0,9.0,15.0,75.0,8.769634832376037e-09,0.00017374189459351476,7.470768450010549,169598.52365054295,17.441352792515726,17745.085372870908,42284.49825915754,10148.113235464003,1755.2382470289222,28368.809918408468,89047,2868.4978137640787,6082.167295642125
横田真悠,8,57599,10,107.0,1.0,2.6000000000000014,2.7,11.7,3.7,14.3,14.0,156.0,8.0,0.0,89.0,3.0,8.0,92.0,8.19191773159648e-08,0.00016975387486431272,7.599645922571836,170050.0934012628,18.475740722041134,49456.91884672508,115808.96905283096,19582.06274699007,1297.7419790233544,71674.13450897201,251912,11250.124696642644,16061.341989610402
橋本マナミ,6,17745,12,115.0,0.9000000000000004,0.3999999999999915,9.9,72.7,10.8,73.1,12.0,124.0,9.0,3.0,92.0,18.0,12.0,110.0,0.0,1.4938008338765215e-05,8.068354060441445,241792.05281139992,26.52845155793954,25108.367635161183,59669.80476493834,13675.655868238919,1249.1710577841613,38563.17147905579,125922,3814.658252703845,6281.004365737292
橋本愛_(1996年生),8,53354,43,235.0,0.1999999999999993,-1.5,7.4,48.0,7.6,46.5,45.0,209.0,33.0,7.0,168.0,38.0,40.0,206.0,0.0,0,18.731823160009693,440255.2895015511,41.46250160057729,57676.80644436477,132585.99119690724,17384.482741498043,1694.5015207737392,79294.16219428797,300743,14329.995337211933,17405.61010484161
橋本環奈,7,206693,84,579.0,0.9000000000000057,0.0,34.3,83.5,35.2,83.5,60.0,545.0,52.0,26.0,439.0,111.0,78.0,550.0,9.989544290589168e-08,0.004496501907277777,44.00512560875922,1181245.2513200545,111.13001423213522,158330.40932891934,378439.4821386799,96772.60619016722,4530.01709984982,243686.66940706174,786921,41741.92851254252,63074.19212172717
檀れい,8,46218,11,71.0,1.3999999999999986,-0.5,16.8,73.8,18.2,73.3,13.0,62.0,10.0,1.0,49.0,8.0,11.0,57.0,3.6649296532748275e-08,0.001563480843074213,6.116034765783196,124122.70549486224,12.54352423475692,52537.49276925113,122331.27926869028,18562.01644327437,1178.7960592698767,74718.49121996251,269266,8730.692120129934,10833.260471561563
櫻井海音,16,73994,22,101.0,-0.40000000000000013,3.5,1.8,8.5,1.4,12.0,22.0,101.0,16.0,2.0,69.0,4.0,18.0,73.0,8.614384667395356e-10,0.0004118291819671005,9.155320044992745,180099.08485792106,17.781395786956377,44546.171697902995,109588.29393670999,41953.165139261226,5279.807145185071,78037.49538346878,215848,13017.82506067173,22404.012705828907
櫻井翔,6,34081,39,356.0,-0.6999999999999957,0.5999999999999943,36.8,95.9,36.1,96.5,41.0,346.0,30.0,4.0,277.0,57.0,34.0,334.0,2.965652355935403e-07,0.002061454892509052,28.532738336903858,732510.6245787933,77.46536855718884,61116.50853426159,148275.208360029,49321.91960454163,4469.668326313606,100574.68534599745,300122,8249.225395967393,12341.462543090911
武井壮,7,21473,19,77.0,-3.9000000000000004,0.9000000000000057,17.0,91.0,13.1,91.9,11.0,23.0,11.0,7.0,38.0,25.0,18.0,63.0,5.160594046374325e-09,0.00010642712178124393,5.857985921751874,145435.0096709739,14.718845350311444,25340.564350836037,59554.23330519774,10629.504641887448,694.6778697276636,37151.21166744568,128489,3074.2908814689554,4029.8027202170715
武田梨奈,15,28117,9,41.0,-0.2999999999999998,0.10000000000000142,3.0,16.5,2.7,16.6,4.0,6.0,4.0,3.0,15.0,15.0,7.0,30.0,2.7895545600600736e-08,0.00016376651861115663,3.8825572852552512,46424.9537752753,5.565589343445918,16787.06053763333,40141.44219684678,11210.00043578654,480.5176803155935,25846.927576859387,83566,5679.748960090726,8913.597363071005
武田玲奈,5,40779,16,139.0,0.2999999999999998,1.3000000000000007,3.2,18.9,3.5,20.2,19.0,35.0,12.0,1.0,42.0,33.0,13.0,75.0,4.257809106695876e-08,0.0003912224407281053,9.722401797706656,199015.87662166287,22.0782262387899,38019.229948431355,88687.79831743412,15588.409296156264,1188.0314360475516,54663.53122751335,194830,7539.697097751172,9176.606524602148
武田鉄矢,9,24175,22,92.0,-1.799999999999999,1.2999999999999972,17.7,92.9,15.9,94.2,-3.0,-1.0,9.0,9.0,35.0,43.0,18.0,78.0,1.3121855008032714e-07,0.0012090411293759656,7.363659735568121,162102.80133538262,17.216228646975928,31037.7598429734,74277.74023617335,19565.735755527116,2284.9726979458137,49296.34949217172,154791,3972.737240448486,5336.123583336881
毎熊克哉,7,11862,9,56.0,0.5,-1.200000000000001,1.4,14.3,1.9,13.1,8.0,42.0,7.0,0.0,29.0,6.0,7.0,35.0,0.0,0.0010724128812870718,4.509533792485105,95205.52108671633,8.423012696767067,18021.402010641843,42642.31877549888,10054.530563691966,648.4032878310032,27074.672944328653,90877,765.2635917749986,1182.4278065637382
比嘉愛未,12,75409,38,133.0,0.3000000000000007,2.6000000000000014,22.5,59.5,22.8,62.1,57.0,142.0,35.0,2.0,101.0,18.0,37.0,119.0,1.4442453041100823e-08,0.00010118917868945535,10.138851769262741,287458.450410846,27.600622770976234,73637.32687532362,175422.82634272208,42038.35816998721,2940.2716737842447,113056.89404772449,368073,13157.082885300768,19424.76634775385
